ICY,59.96900177,-141.662002563
HGZ,66.2161026,-155.6690063
BYW,48.5789985657,-122.825996399
BDF,41.2308998108,-89.6156997681
BCS,29.8661003113,-90.0222015381
BWL,36.7958984375,-97.3170013428
DUF,36.2535018921,-75.7884979248
FOB,39.4743003845,-123.79599762
ALX,32.9146995544,-85.9629974365
AFT,-9.1913888889,160.948611111
RNA,-9.8605435826,161.979546547
ATD,-8.8733301163,161.0110015869
VEV,-7.912779808,156.7059936523
BPF,-8.5620277778,158.119305556
GEF,-7.5758299828,156.5970001221
AKS,-8.7025699616,160.682006836
BNY,-11.3022222222,159.798333333
CHY,-6.711944,156.396111
BAS,-6.990745,155.886656
FRE,-8.1075000763,159.5769958496
HIR,-9.4280004501,160.0549926758
MBU,-9.7475004196,159.8390045166
AVU,-9.8683333333,160.410555556
IRA,-10.4497003555,161.8979949951
SCZ,-10.7202997208,165.7949981689
MUA,-8.3279695511,157.2630004883
GZO,-8.0977802277,156.863998413
MNY,-7.4169402122,155.5650024414
PRS,-9.6416702271,161.4250030518
RNL,-11.5339002609,160.06300354
EGM,-8.5788898468,157.8760070801
NNB,-10.847994,162.454108
RUS,-9.8616695404,160.824996948
VAO,-7.585559845,158.7310028076
XYA,-9.092816,159.21841
KGE,-7.3330001831,157.5829925537
KWS,-8.360508,160.775127
GTA,-8.739167,158.203056
RIN,-8.1263904572,157.1430053711
RBV,-8.1680603027,157.6430053711
CEX,65.0518035889,-146.04699707
HED,55.801399231,-160.899002075
TWE,65.6792984009,-164.798995972
CDL,65.907699585,-161.925994873
BSZ,58.2162017822,-157.352005005
BSW,60.4230995178,-146.145996094
INU,-0.547458,166.919006
ATP,-3.1436111111,142.346805556
AMU,-3.586,141.214333333
ADC,-7.1372222222,145.744722222
AIE,-5.145699978,144.7307003
KPM,-5.3816666667,143.924722222
AUJ,-4.2156666667,142.823166667
AWB,-8.0061101914,142.748352051
AYU,-6.3380555556,145.904166667
VMU,-7.4968600273,144.819900513
BDZ,-6.3472222222,146.942222222
BUA,-5.4223198891,154.6730041504
OPU,-8.0500001907,142.932998657
BUL,-7.2162866714,146.649541855
CMU,-6.0242900848,144.970993042
DER,-6.1447222222,147.107222222
DAU,-9.0867595673,143.207992554
XYR,-3.883986,141.792234
FNE,-8.5492777778,147.085833333
FIN,-6.621750109,147.85405
FAQ,-4.610468,141.960138
GKA,-6.0816898346,145.391998291
GRL,-7.980713,147.213461
GAR,-7.8756250275,147.141265869
GUR,-10.3114995956,150.333999634
GAP,-6.053196,145.959047
PNP,-8.8045396805,148.309005737
GMI,-6.2711100578,150.330993652
GVI,-3.9022428989,141.170516968
HKN,-5.4621701241,150.4049987793
KIE,-6.305,155.727778
LSA,-8.5058202744,151.0809936523
KBM,-6.1554722222,147.191472222
KDR,-6.2659,149.5581
UNG,-6.1257100105,141.2819976807
KRI,-7.4243798256,144.2500762939
KMA,-7.9636101723,145.770996094
KKD,-8.8846788406,147.730957031
KZF,-7.50025,146.033833333
KUQ,-7.135083,143.276111
KVG,-2.5794000626,150.807998657
KWO,-7.9770069122,142.823577881
LNV,-3.043610096,152.628997803
LMY,-7.0099201202,141.494003296
LMI,-3.4768395113,142.041292191
MYX,-7.2116666667,146.019361111
MAG,-5.2070798874,145.789001465
HGU,-5.826789856,144.296005249
MXK,-6.4716666667,147.441138889
GUV,-6.280859,142.420775
MDU,-6.1477398872,143.6569976807
MAS,-2.0618898869,147.4239959717
MXH,-6.3633298874,143.238006592
MIS,-10.6892004013,152.837997437
GBF,-6.567778,144.703058
MFO,-5.577778,151.792333
UKU,-3.676651,142.484334
LAE,-6.5698299408,146.725997925
OGE,-6.46675,147.364166667
OSE,-7.8277777778,147.080638889
PDI,-6.4451388889,147.515833333
POM,-9.4433803558,147.2200012207
KRJ,-4.5966666667,143.5225
RMN,-5.8972222222,141.271666667
KMR,-6.4921,144.823
SBE,-6.1044444444,142.278333333
NIS,-2.6622222222,151.997777778
SIL,-9.0735555556,148.38925
SIM,-5.2786111111,144.544722222
SKC,-8.0466,141.7222
TIZ,-5.8449997902,142.947998047
TBG,-5.2786102295,141.2259979248
TFM,-5.1260804642,141.641921997
TPI,-8.3566666667,146.989166667
TAJ,-3.1981918035,142.430963516
RAB,-4.3404598236,152.380004883
TKW,-5.2436666667,142.165194444
